equity_style_score,equity_size_score,environmental_score,social_score,governance_score,sustainability_score,fund_name,fund_return_2020_q3
166.12,295.42,3.79,10.95,7.94,22.79,Xtrackers MSCI USA Swap UCITS ETF 1C,True
98.14,344.05,6.17,10.25,11.46,28.25,Xtrackers MSCI Korea UCITS ETF 1C,True
132.02,330.79,5.64,6.56,7.82,20.34,Xtrackers MSCI Taiwan UCITS ETF 1C,True
33.72,253.7,12.16,8.91,9.36,33.44,Xtrackers MSCI Russia Capped Swap UCITS ETF 1C,False
132.02,330.79,5.64,6.56,7.82,20.34,Xtrackers MSCI Taiwan UCITS ETF 1C,True
33.72,253.7,12.16,8.91,9.36,33.44,Xtrackers MSCI Russia Capped Swap UCITS ETF 1C,False
154.4,333.63,4.77,9.68,7.81,22.26,iShares STOXX Europe 50 UCITS ETF EUR (Dist),False
154.4,333.63,4.77,9.68,7.81,22.26,iShares STOXX Europe 50 UCITS ETF EUR (Dist),False
157.38,312.43,4.58,7.8,7.56,19.96,iShares EURO STOXX 50 UCITS ETF EUR (Dist),True
157.38,312.43,4.58,7.8,7.56,19.96,iShares EURO STOXX 50 UCITS ETF EUR (Dist),False
157.41,312.44,4.58,7.8,7.56,19.95,Xtrackers Euro Stoxx 50 UCITS ETF 1C,False
145.42,302.09,4.78,9.51,7.91,22.2,Deka MSCI Europe LC UCITS ETF,False
121.69,314.59,3.42,12.13,7.68,23.23,ComStage Dow Jones Industrial Average UCITS ETF,True
157.88,273.09,4.69,9.18,7.67,21.67,ComStage STOXX® Europe 600 UCITS ETF,True
139.12,296.38,5.15,7.18,8.23,20.56,ComStage DAX® UCITS ETF,True
73.79,227.8,4.93,7.01,8.05,19.99,ComStage EURO STOXX® Select Dividend 30 UCITS ETF,True
102.82,259.03,3.78,8.57,7.89,20.24,Amundi ETF MSCI Spain UCITS ETF,False
117.83,271.07,6.04,10.63,7.55,24.22,Amundi ETF MSCI UK UCITS ETF,False
152.11,286.34,4.18,8.44,7.57,20.2,Amundi ETF MSCI France UCITS ETF,False
147.96,291.11,62.7,63.68,59.07,55.91,Amundi ETF DAX UCITS ETF DR,True
141.48,195.84,4.85,8.86,7.66,21.67,iShares EURO STOXX Mid UCITS ETF EUR (Dist),True
156.73,411.55,4.03,12.32,10.02,26.6,iShares Dow Jones China Offshore 50 UCITS ETF (DE),True
179.5,288.1,4.5,9.25,8.75,22.92,iShares Nikkei 225® UCITS ETF (DE),True
50.4,184.88,7.81,9.87,7.44,26.12,iShares Dow Jones U.S. Select Dividend UCITS ETF (DE),False
120.62,313.94,3.42,12.13,7.68,23.23,iShares Dow Jones Industrial Average UCITS ETF (DE),True
162.88,288.11,3.49,9.84,8.17,21.49,iShares SLI UCITS ETF (DE),True
162.91,288.14,3.49,9.84,8.17,21.49,Xtrackers SLI UCITS ETF 1D,True
